Alaska,AK,2.42,8,8
Arizona,AZ,0.99,6.9,7
Arkansas,AR,1.18,6,6
California,CA,0.85,3,3
Colorado,CO,1.03,5.85,6
Connecticut,CT,1.12,3.15,3
Delaware,DE,1.92,3,3
Florida,FL,0.89,6,6
Georgia,GA,0.95,5.85,6
Hawaii,HI,1.69,1,1
Idaho,ID,1.46,8,8
Illinois,IL,0.89,4,4
Indiana,IN,0.97,7.1,7
Iowa,IA,1.13,2.85,3
Kansas,KS,1.21,8.15,8
Kentucky,KY,1.06,6.15,6
Louisiana,LA,1.01,6.15,6
Maine,ME,1.73,3,3
Maryland,MD,0.99,2.15,2
Massachusetts,MA,0.96,1.85,2
Michigan,MI,0.93,2.85,3
Minnesota,MN,1.08,0,0
Mississippi,MS,1.16,7.85,8
Missouri,MO,0.96,6.15,6
Montana,MT,1.74,7,7
Nebraska,NE,1.57,8,8
Nevada,NV,1.28,5,5
New Hampshire,NH,1.74,4,4
New Jersey,NJ,0.91,3.15,3
New Mexico,NM,1.39,4,4
New York,NY,0.86,2,2
North Carolina,NC,0.90,7,7
North Dakota,ND,2.56,8,8
Ohio,OH,0.90,5,5
Oklahoma,OK,1.07,8.15,8
Oregon,OR,1.05,1.85,2
Pennsylvania,PA,0.90,2.85,3
Rhode Island,RI,2.18,1,1
South Carolina,SC,1.12,8.15,8
South Dakota,SD,2.11,8,8
Tennessee,TN,0.99,5.85,6
Texas,TX,0.87,8,8
Utah,UT,1.25,7.85,8
Vermont,VT,2.75,3,3
Virginia,VA,0.93,7,7
Washington,WA,1.02,2.15,2
"Washington, D.C.",DC,2.86,0,0
West Virginia,WV,1.55,4,4
Wisconsin,WI,1.01,1.85,2
Wyoming,WY,3.05,8,8
